iter	Passed	Remaining
310	801	1776
311	802	1770
312	803	1763
313	803	1756
314	804	1749
315	806	1746
316	809	1744
317	810	1738
318	811	1732
319	812	1726
320	813	1721
321	815	1716
322	815	1709
323	816	1703
324	817	1696
325	817	1690
326	818	1684
327	818	1677
328	823	1679
329	825	1675
330	826	1669
331	826	1663
332	828	1658
333	828	1652
334	829	1646
335	830	1640
336	830	1634
337	831	1628
338	832	1622
339	832	1616
340	833	1610
341	833	1604
342	837	1603
343	839	1600
344	840	1594
345	840	1589
346	841	1583
347	842	1579
348	843	1573
349	844	1568
350	844	1562
351	845	1556
352	846	1550
353	846	1545
354	847	1539
355	847	1533
356	848	1528
357	853	1530
358	855	1527
359	856	1523
360	858	1520
361	859	1515
362	860	1510
363	861	1505
364	862	1499
365	862	1494
366	863	1488
367	866	1488
368	868	1485
369	869	1480
370	870	1476
371	871	1471
372	872	1466
373	872	1461
374	873	1455
375	874	1450
376	874	1445
377	875	1440
378	876	1435
379	876	1430
380	877	1425
381	878	1420
382	881	1419
383	881	1414
384	882	1410
385	883	1405
386	884	1401
387	885	1397
388	886	1392
389	887	1387
390	887	1382
391	888	1377
392	889	1373
393	890	1369
394	893	1368
395	895	1365
396	896	1361
397	897	1356
398	897	1352
399	898	1347
400	898	1342
401	899	1338
402	900	1333
403	900	1328
404	901	1324
405	902	1320
406	903	1316
407	904	1312
408	904	1307
409	909	1308
410	910	1304
411	910	1299
412	911	1295
413	912	1291
414	912	1286
415	913	1282
416	913	1277
417	914	1273
418	915	1268
419	915	1264
420	916	1260
421	917	1256
422	917	1251
423	918	1247
424	918	1243
425	921	1242
426	923	1239
427	924	1235
428	925	1231
429	926	1227
430	927	1224
431	928	1220
432	929	1216
433	929	1212
434	930	1208
435	930	1204
436	931	1200
437	932	1196
438	932	1192
439	933	1187
440	933	1183
441	938	1184
442	940	1181
443	940	1178
444	941	1174
445	942	1170
446	943	1167
447	944	1163
448	945	1159
449	945	1155
450	946	1152
451	947	1148
452	947	1144
453	948	1140
454	949	1136
455	952	1136
456	954	1133
457	955	1130
458	955	1126
459	956	1123
460	958	1120
461	958	1116
462	959	1112
463	960	1109
464	960	1105
465	961	1101
466	961	1097
467	962	1094
468	963	1090
469	963	1086
470	964	1083
471	969	1084
472	970	1081
473	971	1077
474	972	1074
475	972	1071
476	974	1068
477	974	1064
478	975	1061
479	976	1057
480	976	1053
481	977	1050
482	977	1046
483	978	1043
484	979	1039
485	982	1039
486	984	1036
487	985	1033
488	986	1030
489	987	1027
490	988	1024
491	988	1021
492	989	1017
493	990	1015
494	991	1011
495	992	1008
496	993	1005
497	993	1001
498	999	1003
499	1000	1000
500	1001	997
501	1002	994
502	1003	991
503	1004	988
504	1004	985
505	1005	981
506	1006	978
507	1006	975
508	1007	971
509	1008	968
510	1008	965
511	1012	964
512	1014	962
513	1015	959
514	1016	956
515	1016	953
516	1017	950
517	1019	948
518	1020	945
519	1020	942
520	1021	938
521	1021	935
522	1022	932
523	1023	929
524	1023	926
525	1029	927
526	1030	924
527	1031	921
528	1032	918
529	1032	915
530	1033	912
531	1033	909
532	1034	906
533	1035	903
534	1035	900
535	1036	897
536	1037	894
537	1037	891
538	1038	888
539	1038	885
540	1042	884
541	1043	881
542	1044	879
543	1045	876
544	1046	873
545	1047	870
546	1047	867
547	1048	864
548	1049	861
549	1049	858
550	1050	856
551	1051	853
552	1051	850
553	1056	850
554	1057	848
555	1058	845
556	1059	842
557	1060	840
558	1061	837
559	1061	834
560	1062	831
561	1063	828
562	1063	825
563	1064	822
564	1064	819
565	1065	817
566	1069	816
567	1071	814
568	1072	812
569	1073	809
570	1074	806
571	1075	804
572	1075	801
573	1076	798
574	1077	796
575	1077	793
576	1078	790
577	1079	788
578	1080	785
579	1086	786
580	1087	784
581	1088	781
582	1089	778
583	1089	776
584	1090	773
585	1090	770
586	1091	767
587	1091	765
588	1092	762
589	1093	759
590	1093	757
591	1094	754
592	1095	751
593	1097	750
594	1099	748
595	1100	745
596	1100	743
597	1101	740
598	1102	737
599	1102	735
600	1103	732
601	1103	729
602	1104	727
603	1105	724
604	1105	722
605	1106	719
606	1107	716
607	1107	714
608	1108	711
609	1109	709
610	1109	706
611	1114	706
612	1115	704
613	1116	701
614	1117	699
615	1118	697
616	1119	695
617	1120	692
618	1121	690
619	1121	687
620	1122	685
621	1123	682
622	1123	680
623	1124	677
624	1127	676
625	1129	674
626	1130	672
627	1131	670
628	1131	667
629	1133	665
630	1134	663
631	1135	660
632	1136	658
633	1136	656
634	1137	653
635	1137	651
636	1138	648
637	1139	646
638	1143	646
639	1145	644
640	1147	642
641	1147	640
642	1149	637
643	1149	635
644	1150	633
645	1151	630
646	1151	628
647	1152	625
648	1153	623
649	1153	621
650	1154	618
651	1154	616
652	1156	614
653	1158	612
654	1159	610
655	1160	608
656	1161	606
657	1162	604
658	1163	602
659	1164	599
660	1164	597
661	1165	595
662	1166	592
663	1167	590
664	1167	588
665	1170	586
666	1172	585
667	1173	583
668	1174	581
669	1175	579
670	1176	576
671	1177	574
672	1178	572
673	1179	570
674	1180	568
675	1181	566
676	1188	566
677	1191	566
678	1193	564
679	1194	561
680	1195	559
681	1195	557
682	1196	555
683	1200	554
684	1201	552
685	1203	550
686	1204	548
687	1205	546
688	1206	544
689	1207	542
690	1208	540
691	1209	538
692	1210	536
693	1211	534
694	1212	531
695	1218	532
696	1219	530
697	1220	527
698	1221	525
699	1222	523
700	1223	521
701	1224	519
702	1225	517
703	1226	515
704	1230	514
705	1232	513
706	1232	510
707	1233	508
708	1234	506
709	1235	504
710	1237	503
711	1239	501
712	1240	499
713	1242	497
714	1249	498
715	1250	496
716	1251	494
717	1252	491
718	1253	489
719	1254	487
720	1256	486
721	1259	484
722	1260	482
723	1261	480
724	1262	478
725	1263	476
726	1264	474
727	1266	473
728	1267	471
729	1269	469
730	1271	467
731	1273	466
732	1275	464
733	1276	462
734	1277	460
735	1278	458
736	1279	456
737	1280	454
738	1281	452
739	1282	450
740	1283	448
741	1284	446
742	1286	444
743	1288	443
744	1289	441
745	1290	439
746	1292	437
747	1293	435
748	1295	434
749	1305	435
750	1307	433
751	1308	431
752	1309	429
753	1311	427
754	1312	425
755	1314	424
756	1317	422
757	1318	421
758	1319	418
759	1320	417
760	1321	414
761	1322	412
762	1323	411
763	1324	409
764	1325	407
765	1325	405
766	1327	403
767	1333	402
768	1335	401
769	1336	399
770	1337	397
771	1339	395
772	1340	393
773	1341	391
774	1342	389
775	1348	389
776	1349	387
777	1350	385
778	1352	383
779	1353	381
780	1354	379
781	1355	377
782	1357	376
783	1357	374
784	1361	373
785	1363	371
786	1364	369
787	1365	367
788	1366	365
789	1367	363
790	1371	362
791	1372	360
792	1376	359
793	1378	357
794	1380	355
795	1381	354
796	1382	352
797	1383	350
798	1383	348
799	1385	346
800	1386	344
801	1387	342
802	1394	342
803	1396	340
804	1397	338
805	1398	336
806	1398	334
807	1399	332
808	1401	330
809	1402	328
810	1402	326
811	1409	326
812	1410	324
813	1411	322
814	1412	320
815	1413	318
816	1414	316
817	1415	315
818	1416	313
819	1417	311
820	1418	309
821	1419	307
822	1420	305
823	1421	303
824	1422	301
825	1423	299
826	1424	297
827	1424	295
828	1425	294
829	1426	292
830	1426	290
831	1427	288
832	1431	286
833	1432	285
834	1433	283
835	1434	281
836	1435	279
837	1436	277
838	1437	275
839	1438	274
840	1439	272
841	1440	270
842	1441	268
843	1446	267
844	1448	265
845	1449	263
846	1450	261
847	1451	260
848	1452	258
849	1453	256
850	1454	254
851	1455	252
852	1456	250
853	1457	249
854	1460	247
855	1462	246
856	1463	244
857	1464	242
858	1465	240
859	1466	238
860	1468	237
861	1470	235
862	1470	233
863	1471	231
864	1473	230
865	1475	228
866	1476	226
867	1477	224
868	1478	222
869	1479	221
870	1480	219
871	1482	217
872	1482	215
873	1483	213
874	1484	212
875	1485	210
876	1487	208
877	1489	206
878	1490	205
879	1491	203
880	1491	201
881	1493	199
882	1494	197
883	1495	196
884	1496	194
885	1497	192
886	1497	190
887	1502	189
888	1504	187
889	1506	186
890	1507	184
891	1508	182
892	1509	180
893	1512	179
894	1516	177
895	1518	176
896	1520	174
897	1521	172
898	1522	171
899	1523	169
900	1524	167
901	1525	165
902	1526	163
903	1527	162
904	1528	160
905	1534	159
906	1535	157
907	1537	155
908	1538	153
909	1539	152
910	1539	150
911	1540	148
912	1541	146
913	1541	145
914	1542	143
915	1543	141
916	1547	140
917	1550	138
918	1551	136
919	1552	135
920	1553	133
921	1555	131
922	1556	129
923	1557	128
924	1558	126
925	1558	124
926	1564	123
927	1565	121
928	1566	119
929	1567	117
930	1568	116
931	1569	114
932	1570	112
933	1572	111
934	1573	109
935	1576	107
936	1579	106
937	1580	104
938	1580	102
939	1581	100
940	1583	99
941	1585	97
942	1586	95
943	1587	94
944	1588	92
945	1594	91
946	1596	89
947	1597	87
948	1598	85
949	1599	84
950	1600	82
951	1601	80
952	1602	79
953	1603	77
954	1607	75
955	1609	74
956	1612	72
957	1614	70
958	1616	69
959	1617	67
960	1621	65
961	1623	64
962	1626	62
963	1628	60
964	1629	59
965	1631	57
966	1633	55
967	1637	54
968	1638	52
969	1640	50
970	1642	49
971	1643	47
972	1647	45
973	1649	44
974	1651	42
975	1653	40
976	1662	39
977	1663	37
978	1666	35
979	1667	34
980	1668	32
981	1669	30
982	1670	28
983	1671	27
984	1672	25
985	1674	23
986	1675	22
987	1676	20
988	1683	18
989	1684	17
990	1685	15
991	1687	13
992	1687	11
993	1688	10
994	1689	8
995	1690	6
996	1691	5
997	1692	3
998	1695	1
999	1698	0
